Diena;Temperatura;Krituliai;Vejas
99;17.8;9.3;10.3
100;12.4;5.9;4.2
101;0.9;12.2;13.1
102;0.2;10.9;11.5
103;17.0;19.8;7.2
104;1.1;16.2;12.4
105;6.2;6.1;5.3
106;7.4;0.9;7.0
107;10.3;3.0;1.1
108;15.7;9.5;4.0
109;1.2;3.5;7.0
110;4.6;5.1;10.3
111;8.6;13.3;5.8
112;17.2;14.4;7.1
113;17.0;14.3;1.2
114;11.9;11.0;12.5
115;7.0;1.1;11.6
116;2.6;17.5;12.7
117;16.0;17.2;11.3
118;13.7;19.5;9.2
119;14.0;3.2;2.3
120;8.7;11.4;8.0
121;12.0;0.6;6.3
122;9.2;18.5;6.5
123;8.6;14.9;12.7
124;8.2;4.3;13.1
125;17.4;10.0;4.5
126;15.0;19.5;10.5
127;13.7;5.9;12.2
128;12.6;13.3;11.0
129;13.3;9.7;1.2
130;11.3;16.5;9.8
131;12.5;14.4;1.3
132;4.0;7.7;4.1
133;7.3;14.8;2.3
134;12.2;5.4;8.9
135;14.0;7.4;8.3
136;11.3;11.7;14.1
137;4.6;18.5;8.5
138;14.9;4.9;5.1
139;2.2;1.6;7.6
140;6.6;10.7;6.5
141;15.8;6.7;2.6
142;1.7;11.9;10.1
143;8.1;5.9;9.2
144;10.3;15.3;10.3
145;6.1;8.8;6.2
146;8.9;1.0;9.5
147;0.7;5.0;14.9
148;6.2;15.1;1.1
149;13.8;10.7;7.2
150;16.6;1.3;13.3
151;7.9;9.5;5.6
152;18.4;34.0;6.9
153;21.9;0.9;4.0
154;21.0;33.2;2.3
155;27.2;16.8;7.3
156;14.4;17.5;0.1
157;20.2;11.1;10.6
158;29.5;33.0;0.4
159;19.4;12.8;6.0
160;16.6;3.5;4.0
161;27.6;29.3;4.4
162;28.7;17.8;1.8
163;29.3;12.2;9.9
164;27.5;32.6;3.1
165;23.0;22.1;7.3
166;15.6;18.9;5.3
167;18.3;32.1;6.6
168;16.6;33.4;1.4
169;22.8;34.2;2.2
170;23.2;22.1;4.6
171;26.4;19.1;3.4
172;18.8;2.0;10.9
173;23.2;23.6;4.2
174;17.5;12.5;9.5
175;19.2;11.2;10.7
176;22.4;3.7;2.3
177;19.1;33.9;2.3
178;29.1;3.9;5.6
179;19.3;28.4;8.2
180;29.9;32.7;5.9
181;22.3;21.1;4.1
182;20.7;18.6;7.7
183;27.3;34.8;11.0
184;23.7;26.7;8.9
185;29.2;16.7;10.2
186;17.2;29.5;3.0
187;22.9;2.8;11.3
188;17.6;17.4;11.1
189;27.5;16.5;8.1
190;15.5;1.1;4.3
191;18.5;31.1;8.6
192;26.3;9.7;7.3
193;14.3;31.5;5.2
194;27.1;22.8;11.5
195;22.5;16.8;3.4
196;19.6;32.1;0.1
197;18.6;7.7;5.2
198;18.9;7.0;4.0
199;24.4;16.5;9.1
200;28.8;14.0;11.8
201;27.0;17.3;11.5
202;19.0;3.8;10.5
203;29.8;11.9;11.5
204;20.7;14.9;9.8
205;16.7;2.6;8.6
206;23.8;20.0;0.7
207;25.0;22.1;2.1
208;16.0;5.2;4.6
209;14.8;29.2;4.2
210;14.8;5.6;11.6
211;15.1;5.5;0.8
212;30.0;14.0;2.9
213;27.1;19.2;6.6
214;17.6;4.8;8.5
215;27.7;7.2;2.2
216;15.5;0.0;6.1
217;26.2;20.0;1.2
218;14.5;9.3;2.2
219;25.0;27.4;2.2
220;27.1;30.4;1.3
221;25.1;29.4;4.5
222;16.1;33.8;8.3
223;29.2;6.5;0.4
224;22.9;27.0;2.4
225;26.5;13.2;9.2
226;25.7;19.3;9.0
227;22.2;29.3;5.0
228;15.4;23.5;5.8
229;23.3;20.9;0.9
230;16.4;26.6;7.1
231;17.6;16.9;11.8
232;18.6;23.1;0.6
233;24.8;7.8;3.5
234;26.3;2.3;4.4
235;17.0;32.0;0.4
236;19.2;20.5;3.4
237;22.6;6.5;11.4
238;22.8;8.2;1.6
239;29.5;1.4;5.6
240;15.0;30.4;6.5
241;15.0;22.8;2.2
242;22.3;11.0;7.7
243;24.0;30.5;0.3
244;3.7;16.4;13.1
245;12.6;9.8;3.6
246;2.6;15.1;16.3
247;10.9;6.7;14.4
248;8.9;23.7;5.0
249;10.6;2.3;16.2
250;8.9;18.2;6.1
251;8.5;8.9;8.7
252;4.8;1.9;6.4
253;13.8;4.5;10.7
254;2.7;1.0;11.3
255;5.0;22.4;11.8
256;4.8;23.8;13.7
257;6.8;14.2;5.4
258;4.7;23.1;11.7
259;14.3;15.7;5.0
260;13.8;23.7;7.9
261;2.8;14.0;10.5
262;2.2;0.7;10.1
263;7.7;4.2;17.0
264;10.5;18.9;10.5
265;11.2;22.9;15.6
266;8.6;24.7;13.0
267;6.1;21.8;11.6
268;5.2;0.5;6.8
269;9.4;12.9;9.5
270;14.0;23.1;12.1
271;3.6;12.2;17.1
272;11.8;18.2;2.9
273;9.5;0.3;15.4
274;3.7;1.9;6.9
275;4.7;7.3;16.4
276;3.9;1.1;8.1
277;5.1;8.3;16.9
278;13.7;18.6;3.6
279;13.9;11.2;12.0
280;6.6;21.1;16.6
281;8.7;21.5;8.4
282;9.9;13.3;11.4
283;8.1;4.8;1.2
284;6.7;18.8;9.1
285;3.7;10.8;14.5
286;12.6;15.0;6.1
287;12.8;18.7;15.8
288;4.4;19.8;7.8
289;10.2;4.3;14.6
290;13.3;21.6;11.0
291;9.8;17.6;1.9
292;2.9;18.6;15.3
293;11.1;20.6;5.7
294;11.5;22.7;6.3
295;9.3;9.3;15.9
296;3.0;13.1;16.7
297;12.6;12.2;13.3
298;8.1;13.3;15.3
299;12.5;4.4;3.2
300;12.1;2.5;10.1
301;11.6;11.9;17.3
302;13.5;12.1;12.7
303;11.2;8.5;5.0
304;7.1;0.0;2.0
305;3.8;1.7;5.1
306;12.8;4.4;5.0
307;7.0;4.4;12.9
308;6.6;21.2;2.9
309;10.6;7.1;10.3
310;10.8;13.6;5.5
311;11.3;20.2;9.5
312;3.7;8.8;13.8
313;6.0;3.2;10.9
314;8.5;18.5;8.6
315;8.8;20.9;14.7
316;2.5;22.3;6.2
317;5.8;16.2;6.6
318;7.6;20.5;17.7
319;2.4;5.8;16.3
320;5.2;22.8;1.1
321;6.8;14.5;17.4
322;14.4;24.4;4.1
323;4.9;21.2;3.6
324;13.8;11.3;10.5
325;14.5;11.8;8.3
326;12.1;7.1;1.7
327;5.0;20.7;3.8
328;2.8;0.5;5.8
329;14.8;6.0;12.3
330;14.4;11.4;3.7
331;5.5;14.6;12.4
332;6.6;16.8;7.9
333;14.5;10.1;14.5
334;2.6;7.9;3.1
335;-9.9;4.0;10.9
336;-3.6;9.0;17.6
337;-6.3;6.4;10.7
338;0.3;9.6;13.6
339;-1.8;2.8;5.8
340;-0.6;9.6;11.8
341;-7.7;0.5;13.6
342;-1.0;11.4;14.3
343;1.2;5.0;17.3
344;-1.8;11.1;10.7
345;-1.7;1.9;10.0
346;-6.8;2.7;17.2
347;-13.5;5.9;7.3
348;-5.6;3.9;15.3
349;-7.2;3.7;17.6
350;-14.3;4.2;11.3
351;-2.9;6.5;12.8
352;-14.7;0.5;14.0
353;0.8;0.1;6.8
354;-10.0;6.4;10.5
355;-13.1;2.1;14.7
356;-3.4;0.7;10.1
357;-7.0;10.3;8.8
358;0.0;7.4;14.1
359;-8.4;5.1;16.3
360;-10.4;10.6;5.0
361;-6.8;6.8;2.8
362;-10.0;10.8;6.0
363;-9.7;9.2;13.0
364;-14.4;10.5;13.4
365;-12.1;6.1;11.7
